district,k2_inside_ttk,k2_outside_ttk,k2,source
Свиблово,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Северное Измайлово,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Северное Медведково,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Северное Тушино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Северный,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Силино,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Сокол,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Соколиная Гора,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Сокольники,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Солнцево,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Старое Крюково,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Строгино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Таганский,,,"0,2",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Тверской,,,"0,2",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Текстильщики,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Теплый Стан,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Тимирязевский,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Троицк,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Тропарево-Никулино,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Филевский Парк,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Фили-Давыдково,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Филимонковский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Хамовники,"0,2","0,5",,в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Ховрино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Хорошево-Мневники,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Хорошевский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Царицыно,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Черемушки,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Чертаново Северное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Чертаново Центральное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Чертаново Южное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Щербинка,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Щукино,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Южное Медведково,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Южное Тушино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Южнопортовый,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Якиманка,,,"0,2",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Ярославский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Ясенево,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
